cluster_id,caseName,us_cite,volume,scdb_id,dateFiled,bucket,reason
85005,Dickey v. Baltimore Insurance,11 U.S. 327,11,1813-005,1813-02-17,KEEP,has scdb_id
85006,Marine Ins. Co. of Alexandria v. Hodgson,11 U.S. 332,11,1813-006,1813-02-18,KEEP,has scdb_id
85007,Locke v. United States,11 U.S. 339,11,1813-007,1813-02-19,KEEP,has scdb_id
6726485,Schooner Good Catharine v. United States,11 U.S. 349,11,,1813-02-19,KEEP,vol>=5 (Cranch/Wheaton)
85008,The Schooner Good Catharine v. The United States,11 U.S. 349,11,1813-008,1813-02-20,KEEP,has scdb_id
85009,Bond and Another v. Jay,11 U.S. 350,11,1813-009,1813-02-22,KEEP,has scdb_id
85011,Brig Penobscot v. The United States,11 U.S. 356,11,1813-010,1813-02-23,KEEP,has scdb_id
6726488,Preston v. Tremble,11 U.S. 354,11,,1813-02-23,KEEP,vol>=5 (Cranch/Wheaton)
6726489,Brig Penobscot v. United States,11 U.S. 356,11,,1813-02-23,KEEP,vol>=5 (Cranch/Wheaton)
85010,Preston v. Tremble,11 U.S. 354,11,1813-011,1813-02-24,KEEP,has scdb_id
85012,Caze v. Baltimore Insurance,11 U.S. 358,11,1813-012,1813-02-24,KEEP,has scdb_id
85013,The Schooner Jane v. The United States,11 U.S. 363,11,1813-013,1813-02-24,KEEP,has scdb_id
6726509,Brig Caroline v. United States,11 U.S. 496,11,,1813-02-24,KEEP,vol>=5 (Cranch/Wheaton)
85014,Lee v. Munroe,11 U.S. 366,11,1813-014,1813-02-26,KEEP,has scdb_id
85015,Herbert & Others v. WREN & OTHERS,11 U.S. 370,11,1813-015,1813-02-26,KEEP,has scdb_id
85016,"The Cargo of the Brig Aurora, Burn Side v. The United States",11 U.S. 382,11,1813-016,1813-02-26,KEEP,has scdb_id
6726495,Cargo of Brig Aurora v. United States,11 U.S. 382,11,,1813-02-26,KEEP,vol>=5 (Cranch/Wheaton)
85017,Schooner Hoppet & Cargo v. United States,11 U.S. 389,11,1813-017,1813-02-27,KEEP,has scdb_id
6726496,Mutual Assurance Society v. Korn,11 U.S. 396,11,,1813-03-03,KEEP,vol>=5 (Cranch/Wheaton)
6726499,Maryland Insurance v. Wood,11 U.S. 402,11,,1813-03-03,KEEP,vol>=5 (Cranch/Wheaton)
6726501,Stark v. Chesapeake Insurance,11 U.S. 420,11,,1813-03-08,KEEP,vol>=5 (Cranch/Wheaton)
6726503,Williams v. Armroyd,11 U.S. 423,11,,1813-03-08,KEEP,vol>=5 (Cranch/Wheaton)
2490086,Smith v. Delaware Insurance,11 U.S. 434,11,,1813-03-09,KEEP,vol>=5 (Cranch/Wheaton)
85026,Holker v. Parker,11 U.S. 436,11,1813-026,1813-03-10,KEEP,has scdb_id
85027,Barnitz's Lessee v. Casey,11 U.S. 456,11,1813-027,1813-03-11,KEEP,has scdb_id
85028,Blackwell v. Patton & Irwin's Lessee,11 U.S. 471,11,1813-028,1813-03-11,KEEP,has scdb_id
85029,Mills v. Duryee,11 U.S. 481,11,1813-029,1813-03-11,KEEP,has scdb_id
85020,The Maryland Insurance Company. v. Wood,11 U.S. 402,11,1813-020,1813-03-13,KEEP,has scdb_id
85030,Oliver v. Maryland Insurance,11 U.S. 487,11,1813-030,1813-03-13,KEEP,has scdb_id
85032,Riggs v. Lindsay,11 U.S. 500,11,1813-031,1813-03-15,KEEP,has scdb_id
85033,McIntire v. Wood,11 U.S. 504,11,1813-032,1813-03-15,KEEP,has scdb_id
85034,Livingston & Gilchrist v. Maryland Insurance,11 U.S. 506,11,1813-033,1813-03-15,KEEP,has scdb_id
85045,Fairfax's v. Hunter's Lessee,11 U.S. 603,11,1813-034,1813-03-15,KEEP,has scdb_id
85001,Barton v. Petit,11 U.S. 288,11,1813-035,1813-03-16,KEEP,has scdb_id
85031,"Brig Caroline, William Broadfoot v. The United States",11 U.S. 496,11,1813-036,1813-03-16,KEEP,has scdb_id
85035,Young v. Crundy,11 U.S. 548,11,1813-037,1813-03-16,KEEP,has scdb_id
85036,Palmer v. Allen,11 U.S. 550,11,1813-038,1813-03-16,KEEP,has scdb_id
85037,Young v. Black,11 U.S. 565,11,1813-039,1813-03-16,KEEP,has scdb_id
85038,Schooner Anne v. United States,11 U.S. 570,11,1813-040,1813-03-16,KEEP,has scdb_id
85039,U. States v. January & Patterson,11 U.S. 572,11,1813-041,1813-03-16,KEEP,has scdb_id
